Track_Name,Artist,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
三原色,YOASOBI,0.443,0.893,5,-3.496,0,0.154,0.128,0.0,0.328,0.826,127.999
One Last Kiss,Hikaru Utada,0.597,0.542,8,-10.703,0,0.0563,0.698,0.00264,0.0986,0.397,111.985
Flamingo,Kenshi Yonezu,0.76,0.668,7,-6.0,1,0.0546,0.165,0.0,0.0917,0.913,114.075
死神,Kenshi Yonezu,0.807,0.653,2,-6.308,1,0.0443,0.0349,9.08e-06,0.111,0.939,119.019
優しい彗星,YOASOBI,0.707,0.709,5,-4.293,1,0.033,0.179,0.0,0.142,0.59,89.989
LOSER,Kenshi Yonezu,0.679,0.931,1,-3.74,0,0.0474,0.00466,0.0,0.0652,0.962,121.001
ツバメ (feat. ミドリーズ),YOASOBI;ミドリーズ,0.72,0.926,8,-5.027,1,0.0297,0.309,0.0,0.0761,0.846,104.997
灰色と青 ( + 菅田将暉 ),Kenshi Yonezu;Masaki Suda,0.522,0.597,4,-4.883,1,0.0295,0.345,0.0,0.103,0.387,80.952
もしも命が描けたら,YOASOBI,0.698,0.795,10,-4.516,0,0.0337,0.175,0.000752,0.158,0.356,99.987
orion,Kenshi Yonezu,0.702,0.614,8,-4.93,1,0.028,0.103,0.0,0.231,0.507,104.022
感電,Kenshi Yonezu,0.633,0.723,8,-5.733,0,0.143,0.107,0.0,0.0818,0.688,103.101
ハルカ,YOASOBI,0.712,0.817,1,-5.123,1,0.0279,0.0717,7.21e-06,0.146,0.679,100.016
ハルカ,YOASOBI,0.712,0.817,1,-5.123,1,0.0279,0.0717,7.21e-06,0.146,0.679,100.016
Sunflakes,RLLBTS;Run Wallace;Golden Ticket Tapes,0.697,0.575,0,-9.67,0,0.0406,0.00291,0.612,0.106,0.685,88.014
Boy With Luv (feat. Halsey),BTS;Halsey,0.645,0.862,11,-4.761,0,0.0845,0.0933,0.0,0.193,0.803,119.947
Life Goes On,BTS,0.566,0.716,1,-5.733,1,0.0424,0.00691,0.0,0.37,0.45,81.068
Dynamite,BTS,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044
Pink Venom,BLACKPINK,0.794,0.719,0,-7.227,1,0.0761,0.0119,0.0,0.276,0.69,90.016
Typa Girl,BLACKPINK,0.918,0.585,7,-7.781,1,0.0889,0.0627,0.0,0.624,0.519,131.966
Hard to Love,BLACKPINK,0.647,0.723,5,-6.214,1,0.0491,0.00503,0.0,0.176,0.443,105.001
How You Like That,BLACKPINK,0.813,0.787,11,-4.254,1,0.0777,0.0452,0.000107,0.0506,0.326,130.018
FAKE LOVE,BTS,0.557,0.719,2,-4.515,0,0.0371,0.00267,0.0,0.306,0.345,77.502
Shut Down,BLACKPINK,0.813,0.657,0,-6.447,1,0.0372,0.00269,0.0,0.183,0.651,110.053
Euphoria,BTS,0.637,0.799,2,-4.518,1,0.0338,0.394,0.0,0.0921,0.57,104.996
DDU-DU DDU-DU,BLACKPINK,0.671,0.859,4,-3.922,0,0.0833,0.0313,0.0,0.267,0.39,139.931
Run BTS,BTS,0.724,0.818,8,-3.747,1,0.168,0.0201,0.0,0.0358,0.696,77.004
Yet To Come,BTS,0.559,0.885,1,-4.515,1,0.189,0.0432,0.0,0.333,0.683,172.029
Pink Venom,BLACKPINK,0.794,0.719,0,-7.227,1,0.0761,0.0119,0.0,0.276,0.69,90.016
Permission to Dance,BTS,0.702,0.741,9,-5.33,1,0.0427,0.00544,0.0,0.337,0.646,124.925
Butter,BTS,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0788,0.695,109.997
Butter,BTS,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0906,0.695,109.997
Love Shot,EXO,0.689,0.678,5,-4.287,0,0.119,0.0702,0.0,0.0889,0.335,145.883
Tally,BLACKPINK,0.693,0.606,7,-5.997,1,0.0308,0.00817,0.0,0.0942,0.447,129.942
Pretty Savage,BLACKPINK,0.699,0.588,9,-6.533,0,0.0402,0.00807,0.000131,0.107,0.35,151.971
Ice Cream (with Selena Gomez),BLACKPINK;Selena Gomez,0.791,0.733,9,-3.852,1,0.35,0.0305,0.000169,0.0423,0.913,159.974
Shut Down,BLACKPINK,0.813,0.657,0,-6.447,1,0.0372,0.00269,0.0,0.183,0.651,110.053
Blood Sweat & Tears,BTS,0.584,0.885,0,-3.571,0,0.104,0.0244,0.0,0.357,0.605,92.9
Lovesick Girls,BLACKPINK,0.658,0.732,6,-4.762,1,0.0654,0.00513,0.0,0.13,0.409,127.995
For Youth,BTS,0.633,0.511,2,-5.665,1,0.0368,0.434,0.0,0.248,0.29,116.855
Spring Day,BTS,0.539,0.846,8,-3.192,1,0.0354,0.00631,1.71e-06,0.13,0.462,106.994
Kill This Love,BLACKPINK,0.738,0.861,2,-4.141,1,0.237,0.318,0.00182,0.325,0.58,131.98
Filter,BTS,0.779,0.762,10,-5.188,0,0.0631,0.0224,0.0,0.121,0.859,110.043
BOOMBAYAH,BLACKPINK,0.661,0.836,5,-3.164,0,0.059,0.00268,0.0,0.497,0.396,124.952
IDOL,BTS,0.733,0.855,9,-3.211,1,0.118,0.00481,0.0,0.123,0.42,126.035
As If It's Your Last,BLACKPINK,0.786,0.852,8,-2.687,1,0.0813,0.0687,0.0,0.0759,0.455,125.036
Yeah Yeah Yeah,BLACKPINK,0.732,0.555,1,-7.902,0,0.034,0.00522,4.65e-06,0.0586,0.65,124.011
The Happiest Girl,BLACKPINK,0.439,0.352,0,-9.632,1,0.057,0.587,0.0,0.14,0.548,181.517
Ready For Love,BLACKPINK,0.564,0.682,6,-6.688,1,0.113,0.0146,0.0,0.123,0.551,107.597
Pied Piper,BTS,0.583,0.712,2,-4.942,0,0.0326,0.2,0.0,0.268,0.778,94.051
HOME,BTS,0.633,0.799,7,-4.625,0,0.0427,0.0144,0.0,0.194,0.534,142.991
ON,BTS,0.583,0.817,9,-5.146,0,0.099,0.118,0.0,0.338,0.437,105.935
Black Swan,BTS,0.719,0.757,2,-5.167,0,0.0849,0.137,0.0,0.129,0.489,147.024
PLAYING WITH FIRE,BLACKPINK,0.706,0.756,4,-4.405,0,0.0845,0.0392,0.0,0.18,0.676,97.098
WHISTLE,BLACKPINK,0.818,0.723,11,-4.82,1,0.114,0.00561,0.0,0.0866,0.607,102.945
MIC Drop (Steve Aoki Remix) - Full Length Edition,BTS;Steve Aoki,0.606,0.85,11,-3.952,1,0.183,0.0114,1.01e-06,0.206,0.542,170.01
Make It Right (feat. Lauv),BTS;Lauv,0.583,0.68,7,-7.809,1,0.422,0.0304,0.0,0.189,0.343,97.568
DNA,BTS,0.599,0.775,1,-4.018,0,0.0543,0.0217,0.0,0.0678,0.696,129.817
Mikrokosmos,BTS,0.579,0.858,8,-5.212,1,0.114,0.125,0.0,0.0502,0.475,174.043
Magic Shop,BTS,0.531,0.661,1,-5.836,1,0.0907,0.103,0.0,0.0779,0.278,149.934
Epiphany,BTS,0.508,0.559,2,-6.366,0,0.0276,0.288,0.0,0.131,0.329,135.866
Love To Hate Me,BLACKPINK,0.689,0.656,8,-4.532,1,0.143,0.0365,0.0,0.136,0.623,162.269
I Need U,BTS,0.478,0.88,5,-3.097,0,0.0739,0.0213,0.0,0.24,0.707,158.356
We are Bulletproof : the Eternal,BTS,0.522,0.574,9,-5.225,0,0.0317,0.224,0.0,0.108,0.176,84.044
Born Singer,BTS,0.602,0.841,8,-3.334,0,0.109,0.0354,0.0,0.235,0.684,157.937
