Track_Name,Artist,X,Y,Z,Acousticness,Energy,Valence
WHISTLE,BLACKPINK,1.9078311073525982,1.2301753905673922,0.07519990130015358,0.00561,0.723,0.607
MIC Drop (Steve Aoki Remix) - Full Length Edition,BTS;Steve Aoki,1.9446054549585015,-1.7260610966732215,-1.2508804611569753,0.0114,0.85,0.542
Make It Right (feat. Lauv),BTS;Lauv,1.4038541296651483,-2.063359556303113,0.7510549736938665,0.0304,0.68,0.343
DNA,BTS,1.4881525113426162,0.23589589031792885,-0.6567208162895977,0.0217,0.775,0.696
Mikrokosmos,BTS,0.9341953205798263,-1.2785062396834468,-1.44917468963301,0.125,0.858,0.475
Magic Shop,BTS,-0.15486613165119145,-1.0070814922190585,-0.6934024579296918,0.103,0.661,0.278
Epiphany,BTS,-0.9437172956924597,-0.285170171482721,-0.3550720696820031,0.288,0.559,0.329
Love To Hate Me,BLACKPINK,1.4286343938776476,-0.5445640558935178,-1.2336088855359209,0.0365,0.656,0.623
I Need U,BTS,1.8234110236422272,-1.2796342876296156,-1.1046526439498283,0.0213,0.88,0.707
We are Bulletproof : the Eternal,BTS,-0.6885797365578896,0.418439912754204,0.8325248854692996,0.224,0.574,0.176
Born Singer,BTS,2.035571836363507,-0.9146387623925881,-1.0893855186503887,0.0354,0.841,0.684
Burning Up (Fire),BTS,1.4074634901617136,0.6009931239057654,0.15023493758086184,0.00225,0.706,0.534
Dynamite,BTS,2.0769330410509674,0.9135914642864517,-0.27860615532042293,0.0112,0.765,0.737
Serendipity - Full Length Edition,BTS,-1.548463742231281,-0.9249039021833423,0.07319178879195644,0.443,0.578,0.227
Boy With Luv (Feat. Halsey),BTS;Halsey,2.0360651313564673,0.3442730989933404,-0.29131327417947983,0.0933,0.862,0.803
Forever Young,BLACKPINK,2.238486413533405,-0.22510418957730433,-0.17235926051479944,0.0423,0.961,0.508
dimple,BTS,1.5718981416424023,-0.2962047193673659,-0.3970690772344317,0.14,0.844,0.652
Save Me,BTS,1.4581091156862833,-0.19944858660730716,-0.7904900790473276,0.0269,0.822,0.54
Blue & Grey,BTS,-0.8629110282279857,0.10493817294303842,-0.07628213750590246,0.42,0.605,0.364
Airplane pt.2,BTS,2.2184870292253267,1.1155392364769745,-0.9928117661129378,0.0265,0.817,0.866
Film out,BTS,-0.10419708239959488,-1.9380546617081722,-0.675983326541213,0.296,0.709,0.314
Make It Right,BTS,1.494015939444372,-2.1831225997540957,0.5530122705830446,0.0104,0.706,0.259
Not Today,BTS,3.1608745245723435,-1.2901622842288425,1.0090336822121522,0.00174,0.945,0.674
Louder than bombs,BTS,0.6476099359538464,-0.5833926296837701,-0.6509191959459247,0.0432,0.667,0.478
Yet To Come (Hyundai Ver.),BTS,1.0542587184075756,0.14471236782515282,0.548652733895347,0.078,0.842,0.44
00:00 (Zero O’Clock),BTS,-0.7020379466276304,-0.8869924025882302,-0.7406282953277609,0.0806,0.547,0.199
Friends,BTS,0.9905117188919527,1.0056356927150734,0.5586520211873899,0.0668,0.747,0.649
My Time,BTS,0.860219468906886,1.358395269635318,0.10160277969504959,0.149,0.641,0.664
Crazy Over You,BLACKPINK,1.4479472050382793,1.2509105062938797,0.0018726353003378608,0.0367,0.66,0.617
Go Go,BTS,1.420406989393572,1.389942580575738,-0.8099282094743646,0.171,0.617,0.759
DNA,BTS,1.503495988567145,0.24617239047878958,-0.6646671300091971,0.022,0.775,0.703
Butter - Megan Thee Stallion Remix,BTS;Megan Thee Stallion,1.724243260030129,0.930699858836786,-0.17409377156441047,0.00308,0.588,0.774
You Never Know,BLACKPINK,-0.8007588369143459,-0.47937938125796997,-0.5698955818368522,0.227,0.462,0.334
Butterfly,BTS,0.31773037846549507,-1.3239074898133123,-0.6942905246288161,0.0149,0.776,0.291
The Happiest Girl,BLACKPINK,-2.382229438228507,-0.9111100518574147,-1.4002123064177736,0.587,0.352,0.548
Don't Know What To Do,BLACKPINK,0.5455820821534144,0.10457603712050263,-0.3761724836468231,0.0992,0.64,0.409
Run,BTS,1.614526386612983,-0.36676212365527155,-0.6209020300407304,0.00146,0.878,0.55
Inner Child,BTS,-0.10529947771348269,-0.31004343991839317,-0.21763198613210702,0.017,0.696,0.33
The Truth Untold (feat. Steve Aoki),BTS;Steve Aoki,-1.7090909672824355,0.30143337895932176,0.3117354336339762,0.374,0.422,0.169
STAY,BLACKPINK,-1.3279078859667306,1.3336129541053137,0.6021952142787432,0.551,0.432,0.343
Anpanman,BTS,3.031195374199965,1.137466807335301,0.22412177486364943,0.024,0.876,0.757
Silver Spoon,BTS,1.7822936388506934,-0.6192594988954405,-1.4713494835907097,0.00104,0.879,0.536
Moon,BTS,0.9095440302317589,0.4248558623803341,-0.5525587699445575,0.0104,0.646,0.64
Jump,BTS,3.74289508379682,-1.9215043429131686,0.26665909000936844,0.0349,0.974,0.763
Just One Day,BTS,1.588780010655188,-0.9304967355465228,0.8492173641870804,0.179,0.713,0.301
Like,BTS,1.6752992680282857,1.255128265816303,0.1293469057100226,0.303,0.723,0.783
Love Maze,BTS,1.7813065200275564,0.00896312483148325,-1.1023813922438381,0.0483,0.876,0.759
Best Of Me,BTS,1.4504603899431323,-0.17826636065302368,0.17078467598553246,0.0298,0.756,0.469
Telepathy,BTS,1.463977456595907,1.4602376927214078,0.06942166924430371,0.00782,0.669,0.57
Boy in Luv,BTS,2.7360289850401696,-3.388241861570619,-1.0200069342535196,0.00261,0.947,0.474
Ready For Love,BLACKPINK,0.7301974024098266,-0.008965188613513872,0.20930345611785728,0.0146,0.682,0.551
Stay Gold,BTS,0.8309456135725347,0.8504109890411913,-0.4885452679814782,0.0892,0.634,0.582
Dionysus,BTS,1.9160867217033986,-1.9847549976608232,-1.3322359719534511,0.04,0.91,0.588
Dope,BTS,2.65610541909137,-2.0058079044789174,-0.8475305607275607,0.0486,0.89,0.62
